How long have you been a member of CNCF?,How many employees does your company have?,"Please indicate your CNCF membership level: (if you’re not sure, please check the list to confirm)",Are you also part of CNCF's End User Community? (Visit here to confirm),What is your role in your organization?,,What CNCF marketing programs are valuable to your company? Check all that apply.,,,,,,,,,,,,,,How well does CNCF communicate the process to get involved in the activities and programs offered?,,Have you taken advantage of networking opportunities with other CNCF members?,,What improvements could be made to these marketing programs? Please check all that apply,,,,,"What kind of additional marketing programs would you find valuable, if any?",We are looking for information on the events and marketing activities our members engage in. Do you hold community events such as a roadshow or developer event? Are they in-person or virtual? What is your targeted audience? How many attendees do you get?,"Do you have an event that CNCF should sponsor and if so, why?",Are you part of other member programs? What parts of that program to most enjoy / find beneficial?,Do you attend the monthly Marketing Committee calls?,"If you have attended a Marketing Committee meeting, is the content presented useful, interesting, and informative?",What improvements could be made to the Marketing Committee meeting? Select all that apply.,,,,,,,"In the past 6 months, have you had a call with CNCF to discuss your membership benefits?",,"Have you submitted an information request to CNCF staff? If so, what communication method did you use? Check all that apply.",,,,,,"If you have submitted a request to CNCF staff, how helpful were the responses you received?",What have you found to be the most valuable part of your CNCF membership? Check all that apply.,,,,,,,,Has your CNCF membership experience met your expectations?,,Would you recommend CNCF membership to other companies?,,Is there any other feedback that you wish to share? What can CNCF do more of or less of? How can CNCF help you in the next six months?
Less than one year,1-49,Silver,No,Other (please specify),CEO,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,Sponsorship of CNCF Events: Kubernetes Forums,"Sponsorship of CNCF Events: CNCF project events (i.e PromCon, gRPC Conf)",Sponsorship of CNCF Events: Kubernetes Community Days,CNCF Webinar Program,Kubernetes blogs,,,,PR/AR / Thought Leadership / Speaker Support,,,,The marketing organization is great. They are incredibly responsive. One of the best features of Kubecon is the support for submitting articles to tech publications before the conference.  ,Very well,,I was not aware of networking opportunities with other CNCF members,,,,,I do not have any suggestions,,It would be great to get more access to meetups.  We've done this ourselves. ,We do meetups.  The SF ClickHouse Meetup typically gets about 40 attendees per meeting. ,Not at this time. ,Not that I know of. ,Never,Very,,,,,,I do not have any improvement suggestions,,Not sure,One of my colleagues attends the marketing meetings.  They are very useful. ,,Email to an email alias,Email to specific CNCF person,,,,Extremely helpful,Marketing programs,Networking with other companies in the space,Direct access to developers in the community to promote our solutions or hire talent,Demonstrating thought leadership,Helping raise awareness of CNCF projects to reach critical mass,,,,Completely meets expectations,It's been a good investment at multiple levels.  CNCF is a model for how foundations should work. ,Yes,Great way to network with the Kubernetes/Cloud Native community.  It's also been a surprisingly good way to meet VCs. :),CNCF has been one of the best marketing investments we have made.  We're glad to be members.  Stay healthy and keep up the good work!
4+ years,50-499,Silver,No,Sales and Marketing,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,Sponsorship of CNCF Events: Kubernetes Forums,,Sponsorship of CNCF Events: Kubernetes Community Days,CNCF Webinar Program,Kubernetes blogs,,KubeWeekly,End user case studies,,"Partner Programs (KTP, KCSP, Certified K8s)",,,,Neutral,Not communicated often enough ,Yes,,,Better communication as to how to get involved,More support on aligning these programs to member goals,,,"Virtual workshops, certification programs","Yes, both in person and virtual though with the current situation the emphasis will be on virtual at least until Q3",Not right now - wasn't aware that's an option,,Never,I have not attended a marketing committee meeting,,,,,,I do not have any improvement suggestions,,Not sure,,,Email to an email alias,Email to specific CNCF person,,,,Very helpful,,Networking with other companies in the space,Direct access to developers in the community to promote our solutions or hire talent,Demonstrating thought leadership,Helping raise awareness of CNCF projects to reach critical mass,,,Open source community involvement,Completely meets expectations,,Yes,,
4+ years,"5,000+",Platinum,No,Sales and Marketing,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,Sponsorship of CNCF Events: Kubernetes Forums,,Sponsorship of CNCF Events: Kubernetes Community Days,CNCF Webinar Program,Kubernetes blogs,,,End user case studies,PR/AR / Thought Leadership / Speaker Support,,Speakers Bureau and member emails,,,Very well,,Yes,,,,More support on aligning these programs to member goals,,,,,,,Every month,Very,Increased communication regarding how your company can strategically align with CNCF initiatives,,,Marketing topics where members share best practices,,,"For topics which are repeated each month, just a summary page for the topic and allow us to dig into the details on our own...unless someone has a question. Lots of time going over material that only changes slightly month-to-month.",Yes,"Not a call...but in person, at KubeCon.",,,Email to specific CNCF person,Slack,,,Very helpful,Marketing programs,,Direct access to developers in the community to promote our solutions or hire talent,Demonstrating thought leadership,,,,,Somewhat meets expectations,,Yes,,
Less than one year,"1,000-2,999",Silver,No,"Technical, engineering, developer",,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,,CNCF Webinar Program,Kubernetes blogs,,,,,"Partner Programs (KTP, KCSP, Certified K8s)",,,,Very well,,I was not aware of networking opportunities with other CNCF members,,,Better communication as to how to get involved,More support on aligning these programs to member goals,,,,Local Meet ups and promotion help local ecosystems as well as global.  Need help with local events.,,,I was not aware of the monthly Marketing Committee calls,I have not attended a marketing committee meeting,,,,,,I do not have any improvement suggestions,,No,,,,,,,I have not submitted a request of CNCF staff,I have never submitted a request to CNCF Staff,,Networking with other companies in the space,Direct access to developers in the community to promote our solutions or hire talent,Demonstrating thought leadership,Helping raise awareness of CNCF projects to reach critical mass,,,,Somewhat meets expectations,,Yes,,
2 years,1-49,Silver,No,Developer relations / community,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,,CNCF Webinar Program,,,,,,,,,,Somewhat well,,Yes,,Add more programs,Better communication as to how to get involved,,,,Podcasts and virtual events. ,"Yes, both in person and virtual.  In fact our meetups are both.",no,CD Foundation - smaller summits are helpful.  We get a bit lost in the bigger CNCF events. ,Occassionally,Neutral,,,,Marketing topics where members share best practices,,,,No,,,,,,,I have not submitted a request of CNCF staff,I have never submitted a request to CNCF Staff,Marketing programs,,,Demonstrating thought leadership,,,,,Somewhat meets expectations,,Yes,,
3 years,50-499,Gold,No,Sales and Marketing,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,"Sponsorship of CNCF Events: CNCF project events (i.e PromCon, gRPC Conf)",Sponsorship of CNCF Events: Kubernetes Community Days,CNCF Webinar Program,Kubernetes blogs,CNCF blog program on cncf.io,KubeWeekly,,PR/AR / Thought Leadership / Speaker Support,,,,,Somewhat well,,Yes,"A #partner channel on Slack where we can post partnership, event sponsorships, and open CFPs outside of CNCF events. ",Add more programs,,More support on aligning these programs to member goals,,,,"Yes - we hold both in-person and virtual events targeted at Architects, Software Engineers, execs in the IT and engineering orgs. ",,,Most months,Very,Increased communication regarding how your company can strategically align with CNCF initiatives,,,Marketing topics where members share best practices,Open discussion time,,,Yes,,,Email to an email alias,Email to specific CNCF person,Slack,,,Extremely helpful,Marketing programs,Networking with other companies in the space,,Demonstrating thought leadership,,,,,Completely meets expectations,,Yes,,
Less than one year,50-499,Silver,No,Sales and Marketing,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,,,,,,,PR/AR / Thought Leadership / Speaker Support,,Speakers Bureau and member emails,,,Somewhat well,,Yes,,,,,I do not have any suggestions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Less than one year,"5,000+",Gold,Yes,Developer relations / community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 year,50-499,Silver,No,Sales and Marketing,,,,,,CNCF Webinar Program,Kubernetes blogs,,,,PR/AR / Thought Leadership / Speaker Support,,,,,Poorly,,I was not aware of networking opportunities with other CNCF members,,,Better communication as to how to get involved,More support on aligning these programs to member goals,,,PR support,We had been organizing Meetups in cities worldwide which targeted users of the open source Apache Ignite software. We also hold 2-4 webinars per month on the same topics.,Not at this time due to the virus.,"We are in many partner programs including Microsoft, Oracle, IBM and AWS. Some of those programs provide us with co-marketing dollars which are worth tens to hundreds of thousands of dollars a year, which is quite beneficial.",Never,I have not attended a marketing committee meeting,,,,,,,"Change the time of the calls. While I would have been happy to attend, the time when the calls are held is completely unworkable for me because of family commitments.",No,,,,Email to specific CNCF person,,Text / phone call,,Somewhat helpful,,,,Demonstrating thought leadership,,,,,Somewhat does not meet expectations,,No,It would depend on their specific situation,"Nothing at this time. If we rejoin in the future, I hope to learn much more about the available marketing opportunities so we can take advantage of them, hopefully."
Less than one year,50-499,End User Supporter,Yes,"Technical, engineering, developer",,,,,,,,,,End user case studies,,"Partner Programs (KTP, KCSP, Certified K8s)",,,,Very well,,No,,,,,I do not have any suggestions,,,,,,Never,I have not attended a marketing committee meeting,,,,,,I do not have any improvement suggestions,,No,,,,Email to specific CNCF person,,,,Extremely helpful,,Networking with other companies in the space,Direct access to developers in the community to promote our solutions or hire talent,,Helping raise awareness of CNCF projects to reach critical mass,,,,Somewhat meets expectations,,Yes,,
1 year,"5,000+",Silver,No,"Technical, engineering, developer",,,,,,,,,,,,,,None,,Poorly,,Yes,,,,More support on aligning these programs to member goals,,,,,,,Occassionally,Somewhat not,,,,,,I do not have any improvement suggestions,,No,,,,Email to specific CNCF person,,,,Not so helpful,,Networking with other companies in the space,Direct access to developers in the community to promote our solutions or hire talent,Demonstrating thought leadership,,,,,Neutral,,No,,
2 years,1-49,Silver,No,Developer relations / community,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,Sponsorship of CNCF Events: Kubernetes Community Days,CNCF Webinar Program,,,KubeWeekly,,,,Speakers Bureau and member emails,,"We're not quite sure how to get involved in some of these -- end user case studies, PR/AR/Thought Leadership/Speaker Support, Partner Programs",Somewhat well,"We're not quite sure how to get involved in some of these -- end user case studies, PR/AR/Thought Leadership/Speaker Support, Partner Programs. We didn't actually even know about the PR/AR/Thought Leadership/Speaker Support one. ",I was not aware of networking opportunities with other CNCF members,"Not sure what this q is referring to. Are there events specifically for just the members to network, or do you mean at events in general? It would be great to have specific events for us.",,Better communication as to how to get involved,More support on aligning these programs to member goals,,"I know we're a small shop, but we could definitely use more strategic help on how to align these to our goals. ",Strategy and tactics on leverage social media,"Before coronavirus, we were planning roadshows and a developer conference in-person. ",Not yet!,,Most months,Very,Increased communication regarding how your company can strategically align with CNCF initiatives,,More information on how members can get involved in marketing programs,Marketing topics where members share best practices,,,,Not sure,"Maybe when I first joined the company in November, but that was more of an overview before knowing what our goals were internally. ",,Email to an email alias,Email to specific CNCF person,Slack,,,Very helpful,Marketing programs,,,,Helping raise awareness of CNCF projects to reach critical mass,,,"Marketing programs is a bit vague :) But if that includes KubeCon, then definitely that!",Somewhat meets expectations,"I don't think we have clear expectations, so it's been us figuring it out together",Yes,"It just helps boost up your profile and helps you do things you wouldn't normally be able to do yet with your resources, like a case study or a webinar. ","Some more flexibility about event planning, in this particularly uncertain time.    Maybe a call on how CNCF can help us align our member goals with their program offerings as we're all taking a big hit from KubeCons not happening/being shifted to virtual -- we're all in this together. "
2 years,1-49,Silver,No,Sales and Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4+ years,"5,000+",Platinum,No,Developer relations / community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4+ years,"5,000+",Platinum,No,"Technical, engineering, developer",,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,Sponsorship of CNCF Events: Kubernetes Community Days,,Kubernetes blogs,CNCF blog program on cncf.io,KubeWeekly,End user case studies,PR/AR / Thought Leadership / Speaker Support,"Partner Programs (KTP, KCSP, Certified K8s)",Speakers Bureau and member emails,,"I applaud getting rid of Forums. That was a level of effort that seemed a bridge too far.    I would really focus on tightening up the processes and procedures in place for what's left. Make the webinar program easy (done), make blogs easier to help with, etc. Reduce friction.",Poorly,"CNCF communications have been really, really bad lately.",I was not aware of networking opportunities with other CNCF members,,,Better communication as to how to get involved,More support on aligning these programs to member goals,,,Stop adding. You're clearly spread too thin.    Start refining.,Too many to list,,,Every month,Somewhat,,Additional reporting on the performance of marketing programs,More information on how members can get involved in marketing programs,,Open discussion time,,,Yes,,Member desk,Email to an email alias,Email to specific CNCF person,Slack,Text / phone call,,Very helpful,,,,,Helping raise awareness of CNCF projects to reach critical mass,,,,Neutral,,No,,Take coronavirus more seriously.
4+ years,50-499,Silver,No,Sales and Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Less than one year,1-49,Silver,No,Sales and Marketing,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,,,,,,End user case studies,,,,,,Somewhat well,,Yes,,,,,I do not have any suggestions,,,,,,Most months,Very,Increased communication regarding how your company can strategically align with CNCF initiatives,,,,,,,Yes,,,Email to an email alias,Email to specific CNCF person,,,,Very helpful,Marketing programs,,Direct access to developers in the community to promote our solutions or hire talent,,,,,,Somewhat meets expectations,,Yes,,
Less than one year,50-499,Silver,No,Sales and Marketing,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,Sponsorship of CNCF Events: Kubernetes Forums,"Sponsorship of CNCF Events: CNCF project events (i.e PromCon, gRPC Conf)",Sponsorship of CNCF Events: Kubernetes Community Days,CNCF Webinar Program,Kubernetes blogs,CNCF blog program on cncf.io,KubeWeekly,End user case studies,PR/AR / Thought Leadership / Speaker Support,"Partner Programs (KTP, KCSP, Certified K8s)",Speakers Bureau and member emails,,,Very well,,Yes,,,Better communication as to how to get involved,,,,,,,,Most months,Somewhat,,Additional reporting on the performance of marketing programs,More information on how members can get involved in marketing programs,Marketing topics where members share best practices,Open discussion time,,,Yes,,,Email to an email alias,,,,,Extremely helpful,Marketing programs,Networking with other companies in the space,,Demonstrating thought leadership,,,,,Somewhat meets expectations,,Yes,,
4+ years,"3,000-4,999",Nonprofit,No,Sales and Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 year,50-499,Silver,No,Sales and Marketing,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,,CNCF Webinar Program,Kubernetes blogs,,,,,,,,,Neutral,,I was not aware of networking opportunities with other CNCF members,,Add more programs,Better communication as to how to get involved,,,,"Podcast, vlog, twitch streaming",,,,Every month,Somewhat,,,More information on how members can get involved in marketing programs,,,,,No,,,,,,,I have not submitted a request of CNCF staff,I have never submitted a request to CNCF Staff,,,,,,Lead generation from partner programs,,,Neutral,,Yes,,
Less than one year,1-49,Silver,No,"Technical, engineering, developer",,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,,,,,,End user case studies,,,,,,Very well,,I was not aware of networking opportunities with other CNCF members,,Add more programs,Better communication as to how to get involved,More support on aligning these programs to member goals,,,Any type of programs that can generate qualified leads to us,"Yes, DevOps Underground meetup group. Mostly in-person and online time to time. Our target audience is technical people like developers and devops people. We have almost 2000 members in the group",We organise Devops Underground meetup events. A community event that technical people attend. Sponsoring this would help a lot for the community,AWS Advanced Partner  Cloudflare Partner  Docker Partner  Hashicorp Partner,Occassionally,Somewhat,Increased communication regarding how your company can strategically align with CNCF initiatives,,More information on how members can get involved in marketing programs,Marketing topics where members share best practices,,,,Yes,,,,Email to specific CNCF person,,Text / phone call,,Extremely helpful,,,,,,,Nothing,,Neutral,,Yes,,It’d be great if CNCF can generate some leads to us
