What is your geographic location?,What is the size of your company/organization?,What is your job function? Please select all that apply.,,What industry does your company/organization belong to?,,Which of the following cloud or data center models does your company/organization use?,,"Which, if any, of the following projects do you use for observability?",,,,,,,,,,,,"What practical, technical, or cultural challenges have you experienced or do you foresee using these projects - please select all that apply:",,,,,,,,,"Observability is a broad field. How many different tools does your organization use for monitoring, gathering logging and tracing data, and for metrics?",,What is your greatest challenge in observability - select all that apply:,,,,,,,,,,"What, if any, concerns do you have about making greater use of cloud native observability projects or products? Please select all that apply from the following list:",,,,,,,,,,,,,How do you run your observability tools - select all that apply. (Providing tools as-a-service internally still counts as self-managed):,,,,,,,,"Which of the following matter most for observability in your daily operations - please rank each in order from 1 - 9, with 1 being most important:",,,,,,,,,,,"Rank the following in order of importance when selecting observability tools from 1 to 6, with 1 being the most important:",,,,,,,What are your top priorities or projects in observability for the next year - select all that apply:,,,,,,,,,,"The CNCF Technical Advisory Group (TAG) Observability provides a number of resources which include the Cloud Native Observability whitepaper and online sessions. What would you like the TAG to provide you with most to monitor, audit, and instrument your cloud native and legacy infrastructure?To get involved with TAG Observability, join the TAG meetings @ 1600 UTC, 1st and 3rd Tuesdays of each month; join the mailing List: cncf-tag-observability@lists.cncf.io; or chat on CNCF Slack #tag-observability.",,,,
Response,Response,Response,Other (please specify),Response,Other (please specify),Response,Other (please specify),None of the above,Cortex,OpenMetrics,Prometheus,Thanos,Fluentd,Jaeger,OpenTelemetry,OpenTracing,Chaos Mesh,Litmus,Other (please specify),Difficult to install,Lack of supporting documentation,Too complex to understand or run,Doesn’t work well with my existing deployment tools or infrastructure,Code bugs,Security vulnerabilities,Management discourages use of/doesn’t see value of open source,Concern open source projects could be abandoned or become inactive,Other (please specify),Response,More than 20 (please specify),None of the above,Lack of resources,Shortage of skills,Lack of understanding of the benefits,No strategy,Engineers and teams using multiple tools,Organization - presence of process and team silos,Lack of leadership from management,Complexity,Other (please specify),None - I don't have any concerns,Security,Hidden costs,Integration,Ease of management,"Maturity of code, features, and project",Level of support and long-term future,"Mastering new technologies, architectures, and concepts - such as elasticity or micro-services",Ability to evaluate competing or complementary projects/products on a like-for-like basis,Mapping and understanding dependencies and integrations,Optimizing them,Lack of resources/expertise,Other (please specify),None of the above,As-a-Service on public cloud,As-a-Service on private cloud,As-a-Service on-prem,Self-managed on public cloud,Self-managed in private cloud,Self-managed on-prem,Other (please specify),Metrics,Logs,Traces,Profiles,Crash dumps,Events,Monitoring,Alerts,Diagnostics,Analytics,Other (please specify),Cost,Open source,Breadth and maturity of features,Complexity of deployment and use,Integration with existing tools/stack,Option to purchase commercial support,Other (please specify),None of the above,Develop a strategy,Secure budget and resources,Adopt tools to collect application and network telemetry data,"Establish a centralized system to capture, analyze and monitor data","Provide engineers with tools and data to identify, preempt, respond to and triage issues","Establish a single, unified view of the technology stack/platform",Develop best practices,Link IT performance issues with business outcomes,Other (please specify),I haven’t heard of the CNCF TAG Observability or its work,Reference architectures and frameworks would be ideal,Tools and projects that fill gaps in the observability space would be better,A series of hosted talks would have the most impact,Other (please specify)
Europe,"1,000-4,999",SRE / DevOps Engineer,,Retail,,Hybrid Cloud (i.e. both),,,,,Prometheus,Thanos,,Jaeger,OpenTelemetry,OpenTracing,,Litmus,,,Lack of supporting documentation,Too complex to understand or run,,,,,,,10-15,,,,Shortage of skills,Lack of understanding of the benefits,,,,,Complexity,,,,,,,,Level of support and long-term future,,,,Optimizing them,Lack of resources/expertise,,,As-a-Service on public cloud,,,Self-managed on public cloud,,,,8,8,6,6,6,7,8,8,7,8,,3,5,1,4,2,6,,,,,,,"Provide engineers with tools and data to identify, preempt, respond to and triage issues",,Develop best practices,Link IT performance issues with business outcomes,,,Reference architectures and frameworks would be ideal,Tools and projects that fill gaps in the observability space would be better,A series of hosted talks would have the most impact,
North America,500-999,SRE / DevOps Engineer,,Software / Technology,,Hybrid Cloud (i.e. both),,,,,Prometheus,,,,,,,,"Appdynamics,",,,,Doesn’t work well with my existing deployment tools or infrastructure,,,,,,1-9,,,,,Lack of understanding of the benefits,No strategy,Engineers and teams using multiple tools,Organization - presence of process and team silos,Lack of leadership from management,Complexity,,,Security,,,,,Level of support and long-term future,"Mastering new technologies, architectures, and concepts - such as elasticity or micro-services",,Mapping and understanding dependencies and integrations,Optimizing them,Lack of resources/expertise,,,,,,Self-managed on public cloud,,,,9,9,9,3,9,9,9,9,9,1,,3,1,6,6,6,3,,,Develop a strategy,Secure budget and resources,Adopt tools to collect application and network telemetry data,"Establish a centralized system to capture, analyze and monitor data","Provide engineers with tools and data to identify, preempt, respond to and triage issues","Establish a single, unified view of the technology stack/platform",Develop best practices,Link IT performance issues with business outcomes,,I haven’t heard of the CNCF TAG Observability or its work,,,,
Australia and Oceania,"More than 5,000",Engineering Manager,,Financial Services,,Only Public Cloud,,,,,Prometheus,,Fluentd,,,OpenTracing,,,,Difficult to install,,,,,,,,,1-9,,,,Shortage of skills,,,Engineers and teams using multiple tools,,,,,,,,,,"Maturity of code, features, and project",,,Ability to evaluate competing or complementary projects/products on a like-for-like basis,,,,,,As-a-Service on public cloud,,,Self-managed on public cloud,,,,1,1,3,1,1,1,1,1,2,2,,1,2,3,4,5,6,,,Develop a strategy,Secure budget and resources,Adopt tools to collect application and network telemetry data,"Establish a centralized system to capture, analyze and monitor data",,,Develop best practices,,,I haven’t heard of the CNCF TAG Observability or its work,,,,
Europe,Less than 10,Software Architect,,Healthcare,,Only Public Cloud,,,,,Prometheus,,,Jaeger,OpenTelemetry,,,,,,,,,,,,,Compatibility and interoperability between all components and Services,10-15,,,Lack of resources,,,,,,,,,,Security,,Integration,,,Level of support and long-term future,,,Mapping and understanding dependencies and integrations,,,,,,,,Self-managed on public cloud,,,,8,6,3,1,2,1,6,7,1,6,,5,1,3,4,2,6,,,,,Adopt tools to collect application and network telemetry data,"Establish a centralized system to capture, analyze and monitor data",,,,,,I haven’t heard of the CNCF TAG Observability or its work,,,A series of hosted talks would have the most impact,
Europe,"More than 5,000",DevOps Management,,Financial Services,,Hybrid Cloud (i.e. both),,,,,Prometheus,,Fluentd,Jaeger,,,,,,,,,,,,,Concern open source projects could be abandoned or become inactive,,10-15,,,Lack of resources,,,,,Organization - presence of process and team silos,,,,None - I don't have any concerns,,,,,,,,,,,,,,,,,,Self-managed in private cloud,Self-managed on-prem,,4,1,3,5,2,2,4,1,4,2,,3,1,3,3,1,1,,,,Secure budget and resources,Adopt tools to collect application and network telemetry data,,"Provide engineers with tools and data to identify, preempt, respond to and triage issues","Establish a single, unified view of the technology stack/platform",Develop best practices,,,,,Tools and projects that fill gaps in the observability space would be better,A series of hosted talks would have the most impact,
Australia and Oceania,50-99,Product/Project Management,,Software / Technology,,Hybrid Cloud (i.e. both),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,10-49,Software Architect,,Software / Technology,,Only Private Cloud / On Premise,,,,,,,,,,,,,Sosivio,,,Too complex to understand or run,,,,,,,1-9,,,Lack of resources,Shortage of skills,,,Engineers and teams using multiple tools,,,Complexity,,,,Hidden costs,Integration,Ease of management,"Maturity of code, features, and project",,"Mastering new technologies, architectures, and concepts - such as elasticity or micro-services",,Mapping and understanding dependencies and integrations,Optimizing them,Lack of resources/expertise,,,,,,,Self-managed in private cloud,Self-managed on-prem,,1,4,8,1,4,1,3,9,2,1,Predictive maintenance,6,6,1,1,3,1,,,,,,,"Provide engineers with tools and data to identify, preempt, respond to and triage issues",,,Link IT performance issues with business outcomes,,,,Tools and projects that fill gaps in the observability space would be better,,
South and Central America,100-499,DevOps Management,,Energy & Utilities,,Only Private Cloud / On Premise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,"More than 5,000",DevOps Management,,Financial Services,,Hybrid Cloud (i.e. both),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,"More than 5,000",Software Architect,,Financial Services,,Hybrid Cloud (i.e. both),,,,,Prometheus,,,,,,,,,,,,,,,,,none,1-9,,,,Shortage of skills,,,,,,,,,,,,,,,,,,Optimizing them,,,,,,,,Self-managed in private cloud,Self-managed on-prem,,9,9,,1,1,8,8,9,9,9,,1,1,1,2,1,6,,,,,,,"Provide engineers with tools and data to identify, preempt, respond to and triage issues",,,,,I haven’t heard of the CNCF TAG Observability or its work,Reference architectures and frameworks would be ideal,Tools and projects that fill gaps in the observability space would be better,,
Asia,100-499,Software Architect,,Consulting,,Hybrid Cloud (i.e. both),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,"More than 5,000",SRE / DevOps Engineer,,Financial Services,,Only Private Cloud / On Premise,,,,,Prometheus,Thanos,,Jaeger,OpenTelemetry,,,,"Elastic search Stack, Appdynamics, Velocimetrics, Victoriametrics",,Lack of supporting documentation,,,,Security vulnerabilities,,Concern open source projects could be abandoned or become inactive,,1-9,,,Lack of resources,,,,,Organization - presence of process and team silos,,Complexity,,,Security,,Integration,,"Maturity of code, features, and project",Level of support and long-term future,"Mastering new technologies, architectures, and concepts - such as elasticity or micro-services",,Mapping and understanding dependencies and integrations,,,,,,As-a-Service on private cloud,As-a-Service on-prem,,,,,1,2,4,8,1,6,1,1,4,4,,1,4,2,1,1,3,,,,,,"Establish a centralized system to capture, analyze and monitor data",,"Establish a single, unified view of the technology stack/platform",Develop best practices,Link IT performance issues with business outcomes,,I haven’t heard of the CNCF TAG Observability or its work,Reference architectures and frameworks would be ideal,Tools and projects that fill gaps in the observability space would be better,,
Europe,500-999,SRE / DevOps Engineer,,Software / Technology,,Only Private Cloud / On Premise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia and Oceania,"1,000-4,999",DevOps Management,,Retail,,Only Public Cloud,,,,,Prometheus,,,,,,,,,Difficult to install,Lack of supporting documentation,Too complex to understand or run,Doesn’t work well with my existing deployment tools or infrastructure,Code bugs,,Management discourages use of/doesn’t see value of open source,Concern open source projects could be abandoned or become inactive,,1-9,,,Lack of resources,Shortage of skills,Lack of understanding of the benefits,No strategy,Engineers and teams using multiple tools,Organization - presence of process and team silos,Lack of leadership from management,Complexity,,,,,Integration,Ease of management,"Maturity of code, features, and project",Level of support and long-term future,"Mastering new technologies, architectures, and concepts - such as elasticity or micro-services",Ability to evaluate competing or complementary projects/products on a like-for-like basis,,,Lack of resources/expertise,,,As-a-Service on public cloud,,,Self-managed on public cloud,,,,9,9,9,,,9,9,9,,9,,3,1,6,6,6,6,,,Develop a strategy,,,"Establish a centralized system to capture, analyze and monitor data",,"Establish a single, unified view of the technology stack/platform",,,,I haven’t heard of the CNCF TAG Observability or its work,Reference architectures and frameworks would be ideal,Tools and projects that fill gaps in the observability space would be better,,
Europe,500-999,SRE / DevOps Engineer,,Financial Services,,Hybrid Cloud (i.e. both),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,"More than 5,000",SRE / DevOps Engineer,,Software / Technology,,Only Public Cloud,,,,,Prometheus,,,,,,,,,,,,,,Security vulnerabilities,,,,1-9,,,,Shortage of skills,,,,,,,,,Security,,Integration,,,,,,,,,,,,,,Self-managed on public cloud,,,,2,1,2,3,1,1,1,2,1,3,,3,1,2,3,1,3,,,Develop a strategy,,,,,,Develop best practices,,,I haven’t heard of the CNCF TAG Observability or its work,,,,
North America,"More than 5,000",SRE / DevOps Engineer,,Software / Technology,,Hybrid Cloud (i.e. both),,,Cortex,,Prometheus,,Fluentd,Jaeger,OpenTelemetry,OpenTracing,,,,,Lack of supporting documentation,Too complex to understand or run,,,,,Concern open source projects could be abandoned or become inactive,,1-9,,,,Shortage of skills,Lack of understanding of the benefits,,,Organization - presence of process and team silos,,,,,,,,,,Level of support and long-term future,,Ability to evaluate competing or complementary projects/products on a like-for-like basis,Mapping and understanding dependencies and integrations,,,,,As-a-Service on public cloud,,,Self-managed on public cloud,,,,1,1,3,5,2,1,1,1,3,6,,2,1,2,1,3,2,,,Develop a strategy,,Adopt tools to collect application and network telemetry data,,,"Establish a single, unified view of the technology stack/platform",Develop best practices,,,,Reference architectures and frameworks would be ideal,Tools and projects that fill gaps in the observability space would be better,A series of hosted talks would have the most impact,
North America,"More than 5,000",SRE / DevOps Engineer,,Telecommunications,,Hybrid Cloud (i.e. both),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,500-999,Engineering Manager,,Transportation and warehousing,,Only Public Cloud,,,Cortex,,Prometheus,,Fluentd,,,,,,"Tempo, elasticsearch",,Lack of supporting documentation,,,,,,,,1-9,,,Lack of resources,,,,,,,,,,,,,,,,,,,,Lack of resources/expertise,,,,,,Self-managed on public cloud,,,,1,1,5,7,7,3,1,1,6,5,,1,1,2,3,2,6,,,,,,,,"Establish a single, unified view of the technology stack/platform",,,Distribute tracing,,Reference architectures and frameworks would be ideal,Tools and projects that fill gaps in the observability space would be better,A series of hosted talks would have the most impact,
Asia,"More than 5,000",SRE / DevOps Engineer,,Financial Services,,Hybrid Cloud (i.e. both),,,,,Prometheus,Thanos,,Jaeger,OpenTelemetry,OpenTracing,,,Victoria Metrics,,Lack of supporting documentation,,,,,,,,1-9,,,,Shortage of skills,Lack of understanding of the benefits,,Engineers and teams using multiple tools,,,,,None - I don't have any concerns,,,,,,,,,,,,,,,As-a-Service on private cloud,,,,Self-managed on-prem,,1,1,5,7,6,6,6,3,4,6,,6,1,1,2,1,5,,,,,,"Establish a centralized system to capture, analyze and monitor data","Provide engineers with tools and data to identify, preempt, respond to and triage issues","Establish a single, unified view of the technology stack/platform",,Link IT performance issues with business outcomes,,,Reference architectures and frameworks would be ideal,Tools and projects that fill gaps in the observability space would be better,A series of hosted talks would have the most impact,
North America,"More than 5,000",Engineering Manager,,Financial Services,,Only Public Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,"1,000-4,999",SRE / DevOps Engineer,,Software / Technology,,Only Public Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,"1,000-4,999",Back-end Developer,,Financial Services,,Hybrid Cloud (i.e. both),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,500-999,Back-end Developer,,Software / Technology,,Only Public Cloud,,,Cortex,,Prometheus,,,,,,,,,,,Too complex to understand or run,,,,,Concern open source projects could be abandoned or become inactive,,1-9,,None of the above,,,,,,,,,,,,Hidden costs,,,,,,,,Optimizing them,Lack of resources/expertise,,,,,As-a-Service on-prem,,,,,1,2,2,5,5,9,4,2,8,9,,2,1,1,1,1,4,,,,,,,"Provide engineers with tools and data to identify, preempt, respond to and triage issues",,Develop best practices,,,I haven’t heard of the CNCF TAG Observability or its work,,,,
Europe,100-499,DevOps Management,,Hospitality,,Only Public Cloud,,,,,Prometheus,Thanos,Fluentd,,OpenTelemetry,,,,"Grafana,ELK",,Lack of supporting documentation,Too complex to understand or run,,,,,,,10-15,,,,,,,Engineers and teams using multiple tools,,,Complexity,,,,Hidden costs,Integration,Ease of management,"Maturity of code, features, and project",,,Ability to evaluate competing or complementary projects/products on a like-for-like basis,Mapping and understanding dependencies and integrations,Optimizing them,Lack of resources/expertise,,,As-a-Service on public cloud,,,Self-managed on public cloud,,,,9,9,6,1,4,5,6,9,1,5,,3,6,5,6,6,1,,,,,,"Establish a centralized system to capture, analyze and monitor data","Provide engineers with tools and data to identify, preempt, respond to and triage issues","Establish a single, unified view of the technology stack/platform",Develop best practices,Link IT performance issues with business outcomes,,,,Tools and projects that fill gaps in the observability space would be better,,
Europe,Less than 10,SRE / DevOps Engineer,,Consulting,,Hybrid Cloud (i.e. both),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,"More than 5,000",Software Architect,,Financial Services,,Hybrid Cloud (i.e. both),,,,,Prometheus,,Fluentd,Jaeger,,OpenTracing,,,,,Lack of supporting documentation,,,,,,Concern open source projects could be abandoned or become inactive,,10-15,,,,,,,Engineers and teams using multiple tools,Organization - presence of process and team silos,Lack of leadership from management,,,,,Hidden costs,,,"Maturity of code, features, and project",Level of support and long-term future,,,,,,,,As-a-Service on public cloud,,,,Self-managed in private cloud,Self-managed on-prem,,8,8,5,5,7,7,9,9,7,7,,5,5,5,3,4,5,,,,,,,,"Establish a single, unified view of the technology stack/platform",Develop best practices,,,,Reference architectures and frameworks would be ideal,Tools and projects that fill gaps in the observability space would be better,,
Europe,500-999,Back-end Developer,,Software / Technology,,Only Public Cloud,,,Cortex,,Prometheus,,,Jaeger,OpenTelemetry,,,,,,Lack of supporting documentation,,Doesn’t work well with my existing deployment tools or infrastructure,,,,,,10-15,,None of the above,,,,,,,,,,,,,Integration,,,,,,,Optimizing them,Lack of resources/expertise,,,,,,Self-managed on public cloud,,,,9,8,6,5,1,1,9,9,1,1,,4,6,4,3,5,4,,None of the above,,,,,,,,,,I haven’t heard of the CNCF TAG Observability or its work,,,,
Europe,"More than 5,000",Full-Stack Developer,,Software / Technology,,Hybrid Cloud (i.e. both),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,500-999,Engineering Manager,,Software / Technology,,Only Public Cloud,,,Cortex,OpenMetrics,Prometheus,,,,,OpenTracing,,,Grafana Loki,,,,,,,,Concern open source projects could be abandoned or become inactive,,10-15,,,,,,,Engineers and teams using multiple tools,,Lack of leadership from management,,,,,,,,,,,Ability to evaluate competing or complementary projects/products on a like-for-like basis,,,,,,As-a-Service on public cloud,,,Self-managed on public cloud,,,,1,2,3,9,9,9,1,1,9,9,,3,1,1,2,3,3,,,,,,,,"Establish a single, unified view of the technology stack/platform",,,,,Reference architectures and frameworks would be ideal,Tools and projects that fill gaps in the observability space would be better,A series of hosted talks would have the most impact,
Europe,100-499,SRE / DevOps Engineer,,Financial Services,,Hybrid Cloud (i.e. both),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,10-49,Full-Stack Developer,,Financial Services,,Only Public Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,100-499,Software Architect,,Software / Technology,,Only Public Cloud,,,,,Prometheus,,Fluentd,,,,,,,,,Too complex to understand or run,,,,,,,1-9,,,Lack of resources,,,No strategy,Engineers and teams using multiple tools,,,,lack of cross tool integration,,,Hidden costs,Integration,Ease of management,,,,Ability to evaluate competing or complementary projects/products on a like-for-like basis,Mapping and understanding dependencies and integrations,,,,,As-a-Service on public cloud,,,Self-managed on public cloud,,,,8,9,6,5,3,7,9,6,5,2,,4,2,6,6,6,5,,,,Secure budget and resources,,"Establish a centralized system to capture, analyze and monitor data","Provide engineers with tools and data to identify, preempt, respond to and triage issues",,,,,I haven’t heard of the CNCF TAG Observability or its work,Reference architectures and frameworks would be ideal,Tools and projects that fill gaps in the observability space would be better,A series of hosted talks would have the most impact,
Europe,10-49,SRE / DevOps Engineer,,Software / Technology,,Only Public Cloud,,,,,Prometheus,,,,,,,,,,Lack of supporting documentation,,,,,,,,1-9,,,,,,,Engineers and teams using multiple tools,,Lack of leadership from management,,,,Security,Hidden costs,,,,,,,,,,,,,,,Self-managed on public cloud,,,,1,3,5,8,9,3,2,2,4,6,,2,1,2,4,3,6,,,Develop a strategy,,Adopt tools to collect application and network telemetry data,,,"Establish a single, unified view of the technology stack/platform",Develop best practices,Link IT performance issues with business outcomes,,,Reference architectures and frameworks would be ideal,,,
North America,100-499,Back-end Developer,,Software / Technology,,Hybrid Cloud (i.e. both),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,"1,000-4,999",SRE / DevOps Engineer,,Transportation and warehousing,,Hybrid Cloud (i.e. both),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,"1,000-4,999",Software Architect,,Manufacturing,,Only Public Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,10-49,Developer Relations,,Software / Technology,,Only Public Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,500-999,SRE / DevOps Engineer,,Manufacturing,,Hybrid Cloud (i.e. both),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,"More than 5,000",Back-end Developer,,Telecommunications,,Hybrid Cloud (i.e. both),,,,,Prometheus,,,Jaeger,OpenTelemetry,,,,,Difficult to install,,Too complex to understand or run,,,,,,,None - I don't use any,,,,,,No strategy,,,,,,,,,,,,,"Mastering new technologies, architectures, and concepts - such as elasticity or micro-services",,,,,,,,,,Self-managed on public cloud,Self-managed in private cloud,,,5,9,9,,9,9,9,9,9,9,,1,6,6,6,6,4,,None of the above,,,,,,,,,,I haven’t heard of the CNCF TAG Observability or its work,Reference architectures and frameworks would be ideal,Tools and projects that fill gaps in the observability space would be better,A series of hosted talks would have the most impact,
Europe,100-499,SRE / DevOps Engineer,,Consumer,,Hybrid Cloud (i.e. both),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,"More than 5,000",DevOps Management,,Software / Technology,,Only Public Cloud,,,,,,,Fluentd,,,,Chaos Mesh,,,,,,,,,Management discourages use of/doesn’t see value of open source,,,1-9,,,,,,,,Organization - presence of process and team silos,,,,,,Hidden costs,,,,,,Ability to evaluate competing or complementary projects/products on a like-for-like basis,,,,,,As-a-Service on public cloud,,,,,,,9,9,8,7,7,8,9,9,8,7,,6,4,4,5,5,5,,,,,Adopt tools to collect application and network telemetry data,,,,Develop best practices,,,,Reference architectures and frameworks would be ideal,Tools and projects that fill gaps in the observability space would be better,,
Europe,"More than 5,000",Software Architect,,Financial Services,,Hybrid Cloud (i.e. both),,,,,Prometheus,,Fluentd,,OpenTelemetry,,,,,,,,,Code bugs,,Management discourages use of/doesn’t see value of open source,Concern open source projects could be abandoned or become inactive,Enterprise support,1-9,,,Lack of resources,,,,Engineers and teams using multiple tools,Organization - presence of process and team silos,,,,,,Hidden costs,,,,Level of support and long-term future,,Ability to evaluate competing or complementary projects/products on a like-for-like basis,,,,,,As-a-Service on public cloud,,,Self-managed on public cloud,,Self-managed on-prem,,3,1,2,4,,2,2,2,3,1,,1,5,3,4,2,6,,,,Secure budget and resources,Adopt tools to collect application and network telemetry data,"Establish a centralized system to capture, analyze and monitor data",,,,,,I haven’t heard of the CNCF TAG Observability or its work,,,,
Europe,500-999,Full-Stack Developer,,Software / Technology,,Hybrid Cloud (i.e. both),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South and Central America,"More than 5,000",SRE / DevOps Engineer,,Consumer,,Only Public Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,"More than 5,000",Engineering Manager,,Other (please specify),Automotive,Hybrid Cloud (i.e. both),,,,,Prometheus,Thanos,Fluentd,Jaeger,,,,,,Difficult to install,,,,,Security vulnerabilities,,,,10-15,,,,,,No strategy,Engineers and teams using multiple tools,Organization - presence of process and team silos,,,,,,,,,,,"Mastering new technologies, architectures, and concepts - such as elasticity or micro-services",,,,,,,As-a-Service on public cloud,As-a-Service on private cloud,,,,Self-managed on-prem,,9,8,3,1,3,4,9,7,4,3,,1,6,4,4,5,2,,,,,,,"Provide engineers with tools and data to identify, preempt, respond to and triage issues","Establish a single, unified view of the technology stack/platform",Develop best practices,Link IT performance issues with business outcomes,,I haven’t heard of the CNCF TAG Observability or its work,,Tools and projects that fill gaps in the observability space would be better,,
North America,"More than 5,000",SRE / DevOps Engineer,,Consumer,,Hybrid Cloud (i.e. both),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,50-99,SRE / DevOps Engineer,,Education,,Hybrid Cloud (i.e. both),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,500-999,SRE / DevOps Engineer,,Software / Technology,,Hybrid Cloud (i.e. both),,,,,Prometheus,Thanos,Fluentd,,OpenTelemetry,,,,,Difficult to install,Lack of supporting documentation,Too complex to understand or run,,,,,,,10-15,,,,,,No strategy,Engineers and teams using multiple tools,,,Complexity,,,,,,Ease of management,,,"Mastering new technologies, architectures, and concepts - such as elasticity or micro-services",Ability to evaluate competing or complementary projects/products on a like-for-like basis,,Optimizing them,Lack of resources/expertise,,,As-a-Service on public cloud,,,Self-managed on public cloud,,Self-managed on-prem,,1,1,3,7,8,4,4,1,6,2,,2,2,1,3,1,5,,,,,Adopt tools to collect application and network telemetry data,,"Provide engineers with tools and data to identify, preempt, respond to and triage issues",,Develop best practices,,,,Reference architectures and frameworks would be ideal,,,
Africa,100-499,Full-Stack Developer,,Education,,Hybrid Cloud (i.e. both),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,100-499,SRE / DevOps Engineer,,Software / Technology,,Hybrid Cloud (i.e. both),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
